STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-121 	 52 	 134 	
56 	 29 	 251 	
209 	 31 	 1093 	
5 	 58 	 1897 	
-55 	 107 	 1898 	
29 	 33 	 833 	
26 	 20 	 -105 	
60 	 -179 	 -759 	
31 	 -116 	 1311 	
-702 	 -205 	 1998 	
-320 	 -119 	 1480 	
678 	 -46 	 -755 	
680 	 -44 	 -1044 	
-276 	 -152 	 1660 	
-820 	 -33 	 1998 	
-312 	 -102 	 959 	
686 	 0 	 -776 	
412 	 -92 	 -157 	
-535 	 -27 	 1893 	
-698 	 -21 	 1908 	
73 	 -25 	 280 	
527 	 49 	 -526 	
285 	 -109 	 483 	
-509 	 182 	 1983 	
-483 	 -114 	 1646 	
126 	 45 	 45 	
73 	 -23 	 -585 	
217 	 -91 	 619 	
-264 	 156 	 1990 	
-316 	 -154 	 1706 	
144 	 -56 	 56 	
69 	 -71 	 -648 	
354 	 -141 	 454 	
-127 	 66 	 1987 	
-342 	 -166 	 1698 	
196 	 -81 	 -265 	
214 	 -66 	 -1004 	
308 	 -71 	 909 	
-413 	 -127 	 1996 	
-254 	 -215 	 1616 	
31 	 10 	 431 	
26 	 -57 	 -675 	
277 	 -120 	 342 	
52 	 76 	 1976 	
-194 	 -216 	 1703 	
102 	 15 	 265 	
56 	 -28 	 -835 	
238 	 -124 	 -44 	
-164 	 16 	 1959 	
-306 	 -199 	 1983 	
-72 	 -35 	 1279 	
155 	 -4 	 50 	
71 	 -108 	 -533 	
303 	 -31 	 588 	
-86 	 45 	 1969 	
-104 	 -173 	 1821 	
-9 	 43 	 1627 	
-36 	 -31 	 744 	
-39 	 65 	 168 	
58 	 13 	 41 	
156 	 -10 	 793 	
44 	 16 	 1910 	
-180 	 -10 	 1961 	
-23 	 -26 	 958 	
-126 	 71 	 116 	
-13 	 -73 	 -488 	
94 	 -87 	 1166 	
151 	 74 	 1996 	
485 	 -128 	 1481 	
285 	 49 	 -435 	
30 	 -78 	 -1428 	
556 	 -221 	 1157 	
-293 	 -339 	 1998 	
-191 	 -256 	 1863 	
344 	 -122 	 -335 	
580 	 -42 	 -1629 	
418 	 -133 	 841 	
-264 	 -117 	 1994 	
-104 	 -131 	 1854 	
30 	 -44 	 22 	
-62 	 -28 	 -1056 	
730 	 -88 	 910 	
587 	 -11 	 1995 	
235 	 -2 	 1841 	
28 	 -13 	 325 	
-403 	 55 	 -890 	
91 	 -32 	 -17 	
708 	 15 	 1855 	
709 	 -13 	 1998 	
419 	 18 	 1294 	
-236 	 14 	 -256 	
-399 	 -6 	 -481 	
280 	 14 	 1199 	
354 	 -43 	 1994 	
381 	 -69 	 1887 	
307 	 -15 	 797 	
-106 	 60 	 -181 	
-71 	 -12 	 -354 	
544 	 94 	 1342 	
488 	 -10 	 1997 	
434 	 -32 	 1673 	
96 	 12 	 710 	
-276 	 -3 	 -494 	
253 	 19 	 -284 	
878 	 63 	 1549 	
693 	 -100 	 1998 	
632 	 45 	 1832 	
236 	 109 	 454 	
-280 	 71 	 -751 	
346 	 150 	 271 	
530 	 35 	 1745 	
620 	 208 	 1996 	
506 	 88 	 1068 	
-84 	 144 	 -569 	
-47 	 12 	 -907 	
503 	 72 	 1503 	
503 	 60 	 1998 	
350 	 97 	 1618 	
-215 	 113 	 -1029 	
346 	 -78 	 -1368 	
911 	 -194 	 1727 	
236 	 152 	 1998 	
73 	 -30 	 1563 	
-397 	 -90 	 -1487 	
389 	 29 	 -1402 	
1163 	 57 	 431 	
974 	 330 	 1867 	
424 	 411 	 1957 	
-165 	 182 	 -134 	
142 	 38 	 -1332 	
828 	 -71 	 828 	
-171 	 32 	 1994 	
140 	 123 	 1995 	
302 	 20 	 286 	
385 	 2 	 -1647 	
697 	 -63 	 304 	
-86 	 -70 	 1908 	
-374 	 100 	 1998 	
72 	 12 	 900 	
231 	 17 	 -1179 	
612 	 -60 	 -303 	
31 	 -104 	 1885 	
-209 	 40 	 1998 	
62 	 -49 	 1002 	
232 	 66 	 -1103 	
446 	 -71 	 -746 	
-93 	 -12 	 1844 	
-358 	 -92 	 1998 	
-11 	 -11 	 1410 	
239 	 21 	 -604 	
458 	 -73 	 -832 	
257 	 20 	 1544 	
-460 	 -94 	 1998 	
-5 	 -10 	 1864 	
294 	 42 	 366 	
111 	 -34 	 -1044 	
363 	 47 	 106 	
-135 	 157 	 1950 	
-147 	 -185 	 1998 	
31 	 25 	 1378 	
-49 	 13 	 -356 	
5 	 -73 	 -706 	
317 	 -70 	 1214 	
-487 	 -308 	 1997 	
-80 	 -226 	 1994 	
229 	 -107 	 864 	
268 	 -50 	 -894 	
448 	 -68 	 -331 	
-81 	 -47 	 1866 	
-455 	 -290 	 1998 	
-67 	 -50 	 1551 	
219 	 -33 	 -397 	
297 	 -72 	 -785 	
206 	 97 	 1380 	
-492 	 -207 	 1998 	
-162 	 -28 	 1972 	
-2 	 8 	 1151 	
-57 	 38 	 -171 	
188 	 -32 	 -454 	
430 	 107 	 1018 	
-68 	 -92 	 1712 	
3 	 23 	 1968 	
48 	 60 	 1590 	
-99 	 28 	 422 	
6 	 93 	 -271 	
208 	 72 	 27 	
84 	 -97 	 1320 	
-32 	 -125 	 1967 	
2 	 16 	 1927 	
-49 	 -21 	 1161 	
-46 	 50 	 286 	
-62 	 -115 	 -401 	
222 	 -56 	 367 	
194 	 -56 	 1721 	
149 	 -37 	 1924 	
-20 	 30 	 1781 	
-102 	 -11 	 1117 	
-5 	 28 	 603 	
6 	 39 	 249 	
120 	 1 	 191 	
286 	 -219 	 709 	
260 	 -56 	 1853 	
-297 	 -104 	 1932 	
-195 	 -67 	 1190 	
145 	 -75 	 -511 	
252 	 -184 	 -789 	
119 	 -36 	 1483 	
-359 	 -139 	 1998 	
-209 	 31 	 1979 	
188 	 -179 	 521 	
174 	 -205 	 -1001 	
351 	 -166 	 -93 	
-242 	 -96 	 1856 	
-610 	 -24 	 1998 	
-265 	 -27 	 1940 	
116 	 -301 	 101 	
326 	 -327 	 -1774 	
447 	 -135 	 143 	
-445 	 -102 	 1959 	
-447 	 156 	 1998 	
-151 	 -15 	 1648 	
218 	 -197 	 -361 	
362 	 -194 	 -832 	
179 	 -42 	 860 	
-463 	 62 	 1984 	
-398 	 43 	 1994 	
44 	 -77 	 943 	
357 	 -196 	 -1210 	
734 	 -235 	 -478 	
-270 	 -163 	 1831 	
-963 	 40 	 1998 	
-252 	 -226 	 1114 	
974 	 -209 	 -1753 	
1299 	 -154 	 -45 	
-905 	 -267 	 1892 	
-1278 	 9 	 1998 	
-63 	 -334 	 366 	
1460 	 -220 	 -1930 	
870 	 -244 	 403 	
-1251 	 -241 	 1980 	
-1021 	 -43 	 1998 	
77 	 -386 	 111 	
1516 	 -189 	 -1932 	
927 	 -301 	 253 	
-1068 	 -239 	 1963 	
-989 	 -8 	 1998 	
-31 	 -360 	 424 	
1156 	 -229 	 -1918 	
1012 	 -233 	 118 	
-928 	 -238 	 1939 	
-822 	 57 	 1998 	
-198 	 -410 	 746 	
944 	 -274 	 -1908 	
1372 	 -142 	 -303 	
-575 	 -217 	 1801 	
-893 	 29 	 1998 	
-486 	 -278 	 1258 	
606 	 -366 	 -1599 	
1406 	 -153 	 -851 	
-131 	 -229 	 1491 	
-891 	 87 	 1998 	
-547 	 -162 	 1678 	
327 	 -377 	 -1331 	
1373 	 -285 	 -1296 	
225 	 -266 	 1488 	
-756 	 61 	 1998 	
-579 	 -69 	 1937 	
44 	 -379 	 -709 	
988 	 -204 	 -1897 	
946 	 -411 	 147 	
-303 	 -285 	 1957 	
-552 	 -29 	 1998 	
-363 	 -432 	 1252 	
259 	 -363 	 -1630 	
1197 	 -146 	 -1217 	
481 	 -347 	 1426 	
-192 	 -36 	 1998 	
-361 	 -113 	 1855 	
-133 	 -300 	 -646 	
711 	 -188 	 -1467 	
732 	 -226 	 904 	
-122 	 -130 	 1990 	
-238 	 -64 	 1998 	
-270 	 -330 	 713 	
191 	 -197 	 -1691 	
977 	 -46 	 -495 	
455 	 -131 	 1572 	
-166 	 -77 	 1998 	
-549 	 -231 	 1784 	
-318 	 -333 	 -976 	
723 	 -104 	 -1157 	
613 	 -324 	 1015 	
-24 	 -169 	 1996 	
-202 	 -182 	 1904 	
-156 	 -157 	 101 	
439 	 -103 	 -1617 	
558 	 -201 	 178 	
-139 	 -234 	 1951 	
-28 	 0 	 1998 	
-107 	 -163 	 949 	
76 	 -165 	 -1516 	
669 	 -193 	 -533 	
235 	 -274 	 1711 	
-37 	 -62 	 1998 	
-96 	 -227 	 1804 	
-144 	 -210 	 -682 	
451 	 -16 	 -1586 	
819 	 -180 	 455 	
4 	 -175 	 1966 	
-323 	 -91 	 1998 	
-232 	 -259 	 1236 	
64 	 -229 	 -1510 	
701 	 -87 	 -948 	
362 	 -347 	 1353 	
-104 	 -163 	 1998 	
-253 	 -136 	 1928 	
-107 	 -200 	 -354 	
589 	 -48 	 -1367 	
769 	 -187 	 546 	
-221 	 -107 	 1953 	
-444 	 -89 	 1998 	
-80 	 -215 	 896 	
398 	 -224 	 -1832 	
1146 	 -83 	 -521 	
-85 	 -216 	 1756 	
-721 	 -49 	 1998 	
-292 	 -234 	 1583 	
271 	 -192 	 -913 	
1066 	 -34 	 -982 	
186 	 -131 	 1222 	
-735 	 -6 	 1997 	
-348 	 -91 	 1852 	
173 	 -170 	 -409 	
800 	 7 	 -855 	
322 	 -54 	 1165 	
-560 	 -23 	 1996 	
-269 	 -120 	 1923 	
117 	 -117 	 69 	
615 	 -15 	 -1221 	
611 	 -116 	 311 	
-373 	 -145 	 1945 	
-482 	 -96 	 1998 	
-155 	 -223 	 1186 	
248 	 -60 	 -804 	
774 	 39 	 -576 	
398 	 -120 	 1169 	
-378 	 -195 	 1994 	
-294 	 -115 	 1942 	
-49 	 -120 	 297 	
455 	 16 	 -1053 	
858 	 79 	 547 	
-255 	 -79 	 1971 	
-437 	 -205 	 1998 	
0 	 -142 	 1345 	
140 	 -59 	 -1060 	
582 	 93 	 -694 	
111 	 -110 	 1500 	
-316 	 -218 	 1998 	
-6 	 -88 	 1854 	
3 	 10 	 19 	
275 	 -6 	 -1364 	
520 	 -71 	 598 	
-382 	 -145 	 1990 	
-10 	 -78 	 1998 	
231 	 -120 	 998 	
91 	 5 	 -972 	
255 	 22 	 -425 	
13 	 -253 	 1315 	
-141 	 -253 	 1997 	
201 	 -186 	 1959 	
69 	 -53 	 501 	
79 	 -45 	 -1556 	
514 	 16 	 -223 	
23 	 -255 	 1624 	
-202 	 -201 	 1998 	
184 	 -187 	 1907 	
47 	 -156 	 37 	
179 	 40 	 -1306 	
569 	 -10 	 -150 	
-84 	 -351 	 1717 	
-308 	 -298 	 1998 	
31 	 -321 	 1704 	
48 	 -72 	 -462 	
413 	 29 	 -1406 	
520 	 -115 	 532 	
-145 	 -165 	 1982 	
20 	 -117 	 1998 	
231 	 -89 	 1009 	
-46 	 -36 	 -1408 	
465 	 -83 	 -670 	
180 	 -283 	 1746 	
-278 	 -173 	 1998 	
96 	 -231 	 1872 	
140 	 -264 	 -619 	
377 	 -101 	 -1700 	
486 	 -183 	 525 	
-127 	 -197 	 1973 	
-148 	 -154 	 1998 	
94 	 -236 	 1469 	
94 	 -257 	 -1338 	
585 	 -64 	 -1238 	
479 	 -196 	 1156 	
-465 	 -78 	 1996 	
-233 	 -50 	 1998 	
181 	 -255 	 763 	
32 	 -228 	 -1599 	
493 	 -86 	 -484 	
208 	 -125 	 1738 	
-518 	 -52 	 1998 	
-163 	 -149 	 1850 	
146 	 -137 	 -222 	
372 	 -91 	 -1368 	
496 	 -116 	 342 	
-138 	 -237 	 1906 	
-423 	 -97 	 1998 	
-63 	 -270 	 1389 	
126 	 -246 	 -1360 	
617 	 -74 	 -781 	
431 	 -242 	 1276 	
-450 	 -175 	 1997 	
-294 	 -202 	 1945 	
85 	 -203 	 -109 	
760 	 -13 	 -1206 	
528 	 -122 	 870 	
-620 	 -205 	 1982 	
-428 	 -139 	 1998 	
22 	 -270 	 404 	
706 	 -29 	 -1203 	
604 	 -12 	 259 	
-277 	 -106 	 1726 	
-376 	 -2 	 1998 	
2 	 -61 	 1493 	
450 	 -145 	 -890 	
629 	 1 	 -401 	
-382 	 -151 	 1727 	
-945 	 -131 	 1998 	
-214 	 -121 	 1492 	
579 	 15 	 -626 	
1153 	 173 	 -585 	
147 	 -93 	 979 	
-731 	 -19 	 1992 	
-376 	 -47 	 1952 	
5 	 5 	 962 	
376 	 -36 	 -397 	
564 	 116 	 -323 	
76 	 -118 	 1106 	
-503 	 -112 	 1992 	
-438 	 -116 	 1938 	
-54 	 -72 	 290 	
328 	 71 	 -943 	
603 	 -76 	 -54 	
-173 	 -172 	 1827 	
-489 	 -121 	 1998 	
-160 	 -166 	 1455 	
76 	 -22 	 -463 	
713 	 115 	 -708 	
361 	 -34 	 869 	
-312 	 -156 	 1947 	
-404 	 -132 	 1997 	
-268 	 -149 	 1192 	
-40 	 53 	 -222 	
636 	 154 	 -473 	
295 	 35 	 826 	
-380 	 -70 	 1979 	
-350 	 -50 	 1996 	
-260 	 9 	 1245 	
-239 	 106 	 -179 	
397 	 157 	 -527 	
998 	 6 	 344 	
392 	 -75 	 1761 	
-762 	 -259 	 1998 	
-897 	 -270 	 1980 	
-323 	 -123 	 725 	
437 	 -48 	 -1258 	
1045 	 230 	 -401 	
460 	 -377 	 926 	
-626 	 -375 	 1989 	
-627 	 -330 	 1998 	
24 	 -225 	 1026 	
461 	 -27 	 -1103 	
584 	 93 	 -666 	
-134 	 -300 	 1045 	
-491 	 -255 	 1988 	
-263 	 -180 	 1991 	
116 	 -168 	 152 	
382 	 41 	 -1368 	
311 	 -166 	 -155 	
-492 	 -316 	 1878 	
-322 	 -73 	 1998 	
228 	 -161 	 1336 	
204 	 -79 	 -1228 	
351 	 -69 	 -670 	
-271 	 -268 	 1414 	
-575 	 -106 	 1997 	
7 	 -60 	 1911 	
308 	 -103 	 71 	
232 	 -84 	 -1246 	
207 	 -125 	 217 	
-351 	 -130 	 1809 	
-457 	 -116 	 1998 	
88 	 -133 	 1670 	
261 	 -122 	 -253 	
291 	 0 	 -811 	
228 	 -44 	 550 	
-314 	 -84 	 1933 	
-314 	 -122 	 1998 	
24 	 -4 	 1698 	
50 	 -90 	 150 	
-20 	 -115 	 -683 	
168 	 4 	 560 	
-165 	 -28 	 1879 	
-149 	 -11 	 1998 	
47 	 -45 	 1437 	
29 	 -50 	 -124 	
-37 	 -12 	 -320 	
63 	 23 	 909 	
-101 	 33 	 1968 	
-2 	 30 	 1949 	
-37 	 25 	 1251 	
-220 	 -8 	 61 	
-43 	 43 	 -38 	
-32 	 88 	 828 	
14 	 38 	 1697 	
69 	 125 	 1963 	
-21 	 84 	 1288 	
-181 	 56 	 558 	
-204 	 103 	 337 	
-37 	 160 	 406 	
172 	 30 	 619 	
228 	 149 	 1719 	
34 	 93 	 1915 	
-198 	 86 	 1463 	
-196 	 -1 	 354 	
-18 	 -95 	 -1118 	
346 	 -178 	 208 	
-99 	 -383 	 1961 	
-364 	 -64 	 1998 	
-138 	 -294 	 1312 	
248 	 -62 	 -902 	
625 	 96 	 -961 	
-23 	 -156 	 1191 	
-653 	 -217 	 1996 	
-221 	 -49 	 1888 	
76 	 -80 	 -103 	
496 	 26 	 -1168 	
296 	 -85 	 581 	
-604 	 -71 	 1980 	
-287 	 -1 	 1986 	
131 	 -56 	 427 	
342 	 -45 	 -1270 	
467 	 -41 	 125 	
-407 	 -157 	 1879 	
-378 	 -38 	 1998 	
-47 	 -136 	 1437 	
196 	 -77 	 -671 	
456 	 61 	 -620 	
223 	 -105 	 626 	
-419 	 -156 	 1933 	
-351 	 -82 	 1998 	
-93 	 -131 	 1747 	
152 	 -224 	 -460 	
325 	 31 	 -1110 	
437 	 -65 	 -363 	
19 	 -260 	 1509 	
-294 	 -143 	 1998 	
-190 	 -121 	 1965 	
77 	 -302 	 242 	
261 	 -66 	 -1014 	
388 	 32 	 -485 	
-134 	 -178 	 1340 	
-424 	 -64 	 1998 	
-160 	 -29 	 1973 	
176 	 -255 	 19 	
387 	 -67 	 -1434 	
401 	 -35 	 -25 	
-357 	 -46 	 1825 	
-465 	 -68 	 1998 	
-56 	 2 	 1931 	
45 	 -89 	 651 	
56 	 -98 	 -592 	
187 	 100 	 -211 	
280 	 43 	 317 	
109 	 -35 	 1225 	
-31 	 -99 	 1959 	
-179 	 35 	 1998 	
-144 	 -41 	 1771 	
-46 	 -61 	 730 	
-6 	 -20 	 -9 	
-24 	 59 	 -298 	
118 	 69 	 -61 	
83 	 -55 	 453 	
159 	 143 	 1700 	
79 	 -20 	 1979 	
102 	 174 	 1998 	
104 	 101 	 1552 	
85 	 12 	 506 	
0 	 79 	 62 	
60 	 -25 	 -244 	
303 	 -24 	 639 	
198 	 8 	 1938 	
96 	 23 	 1998 	
107 	 78 	 1621 	
104 	 -135 	 -148 	
-37 	 57 	 -471 	
245 	 20 	 412 	
12 	 -95 	 1745 	
-125 	 -90 	 1998 	
67 	 -60 	 1897 	
61 	 -52 	 892 	
-90 	 -9 	 -87 	
-130 	 -3 	 -444 	
171 	 35 	 153 	
132 	 3 	 1596 	
17 	 23 	 1997 	
0 	 184 	 1972 	
25 	 2 	 969 	
-68 	 23 	 -209 	
-88 	 -60 	 -795 	
248 	 -114 	 94 	
-36 	 -112 	 1905 	
-124 	 -2 	 1998 	
115 	 32 	 1953 	
127 	 -87 	 521 	
-117 	 -54 	 -623 	
-109 	 -66 	 -957 	
150 	 -60 	 579 	
-301 	 -229 	 1985 	
-146 	 -81 	 1998 	
170 	 -39 	 1718 	
204 	 -86 	 -92 	
59 	 -15 	 -846 	
146 	 26 	 57 	
-125 	 28 	 1761 	
-237 	 -28 	 1998 	
113 	 63 	 1988 	
139 	 15 	 857 	
-126 	 -142 	 -650 	
-139 	 -106 	 -617 	
161 	 -102 	 731 	
-146 	 -109 	 1979 	
64 	 -92 	 1998 	
176 	 54 	 1720 	
55 	 -160 	 -178 	
-52 	 -94 	 -945 	
88 	 -2 	 -167 	
-32 	 -66 	 1598 	
-204 	 -120 	 1998 	
180 	 25 	 1941 	
112 	 -80 	 202 	
-333 	 -109 	 -1241 	
22 	 -115 	 -237 	
165 	 -123 	 1826 	
-352 	 -22 	 1998 	
-395 	 -59 	 1868 	
-141 	 -76 	 87 	
30 	 -196 	 -1224 	
446 	 56 	 618 	
-134 	 41 	 1983 	
-347 	 27 	 1998 	
-43 	 -60 	 1326 	
65 	 -39 	 -101 	
34 	 -37 	 -432 	
179 	 -53 	 449 	
-78 	 102 	 1904 	
-165 	 -120 	 1985 	
66 	 -115 	 1306 	
-57 	 -45 	 100 	
-148 	 -266 	 -1063 	
202 	 -105 	 500 	
-34 	 -3 	 1984 	
-86 	 -217 	 1998 	
41 	 -22 	 1821 	
-69 	 -95 	 572 	
-54 	 -168 	 -680 	
214 	 -115 	 -235 	
202 	 33 	 1435 	
-109 	 -63 	 1997 	
-31 	 -111 	 1968 	
13 	 -7 	 1319 	
-210 	 -114 	 203 	
-98 	 -188 	 -448 	
260 	 31 	 565 	
36 	 36 	 1863 	
31 	 -112 	 1988 	
85 	 70 	 1826 	
-58 	 -103 	 501 	
-174 	 -176 	 -420 	
134 	 -50 	 38 	
77 	 7 	 1464 	
-273 	 -79 	 1997 	
-132 	 -21 	 1980 	
267 	 -223 	 835 	
230 	 -151 	 -336 	
431 	 -143 	 -400 	
323 	 79 	 1285 	
-479 	 -128 	 1998 	
-120 	 -168 	 1992 	
133 	 -126 	 1004 	
142 	 -200 	 -619 	
373 	 -76 	 -65 	
128 	 123 	 1636 	
-251 	 -46 	 1997 	
-90 	 -72 	 1643 	
-52 	 -65 	 452 	
109 	 -212 	 -684 	
263 	 -115 	 125 	
-10 	 102 	 1904 	
-267 	 -272 	 1998 	
11 	 -126 	 1802 	
134 	 -154 	 563 	
9 	 -145 	 -459 	
156 	 -132 	 102 	
-23 	 -19 	 1835 	
-183 	 -201 	 1998 	
70 	 -164 	 1736 	
179 	 -176 	 282 	
163 	 -209 	 -914 	
408 	 -69 	 311 	
-176 	 -68 	 1932 	
-344 	 -250 	 1998 	
-61 	 -135 	 1763 	
18 	 -249 	 88 	
118 	 -248 	 -921 	
237 	 -83 	 683 	
-211 	 -274 	 1881 	
-218 	 -212 	 1987 	
-221 	 -300 	 1810 	
-77 	 -357 	 147 	
303 	 -185 	 -867 	
401 	 -217 	 65 	
-256 	 -112 	 1846 	
-388 	 -255 	 1998 	
77 	 -375 	 1707 	
107 	 -315 	 49 	
49 	 -249 	 -765 	
250 	 -89 	 591 	
-226 	 45 	 1986 	
-252 	 -385 	 1967 	
129 	 -360 	 907 	
43 	 -292 	 -888 	
226 	 -242 	 -476 	
35 	 -16 	 1586 	
-304 	 -233 	 1998 	
141 	 -300 	 1923 	
49 	 -242 	 284 	
18 	 -307 	 -1204 	
320 	 -38 	 427 	
-217 	 -123 	 1923 	
-263 	 -148 	 1998 	
109 	 -313 	 1500 	
114 	 -242 	 -570 	
94 	 -243 	 -801 	
102 	 -74 	 1158 	
-368 	 -109 	 1997 	
-33 	 -225 	 1937 	
99 	 -174 	 1032 	
-59 	 -180 	 -443 	
276 	 -180 	 -508 	
185 	 65 	 1492 	
-194 	 -146 	 1997 	
86 	 -132 	 1992 	
83 	 -136 	 1233 	
-216 	 -188 	 -529 	
-79 	 -188 	 -697 	
166 	 -37 	 987 	
-140 	 -259 	 1959 	
162 	 -190 	 1998 	
319 	 -77 	 1749 	
-30 	 -298 	 -338 	
-64 	 -149 	 -1090 	
142 	 -19 	 870 	
-291 	 -136 	 1992 	
166 	 -57 	 1996 	
264 	 -198 	 553 	
-225 	 -97 	 -732 	
-92 	 -142 	 6 	
-206 	 -8 	 1827 	
41 	 -104 	 1998 	
423 	 60 	 1610 	
20 	 -72 	 -285 	
-89 	 -200 	 -840 	
113 	 -32 	 1143 	
-445 	 -103 	 1994 	
148 	 -93 	 1998 	
308 	 11 	 1260 	
-48 	 -310 	 -1150 	
62 	 -187 	 -304 	
-150 	 -104 	 1693 	
-80 	 -39 	 1998 	
489 	 -104 	 1856 	
18 	 -193 	 145 	
-44 	 -210 	 -807 	
63 	 -215 	 74 	
-621 	 -95 	 1923 	
204 	 -217 	 1998 	
459 	 -124 	 1428 	
-130 	 -358 	 -1400 	
551 	 -317 	 -722 	
-310 	 -202 	 1829 	
-400 	 -256 	 1998 	
177 	 -371 	 1290 	
-104 	 -151 	 -594 	
278 	 -145 	 -680 	
